"geo_code","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
5100409,"(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]"
5100508,"(60,70]","(60,70]","(60,70]","(60,70]","(60,70]","(70,80]","(70,80]","(70,80]","(70,80]","(60,70]","(60,70]","(60,70]","(60,70]","(60,70]","(60,70]","(60,70]"
5100607,"(10,20]","(10,20]","(10,20]","(10,20]","(10,20]","(10,20]","(10,20]","(10,20]","(10,20]","(10,20]","(10,20]","(10,20]","(10,20]","(10,20]","(10,20]","(10,20]"
5100805,"(80,90]","(80,90]","(80,90]","(80,90]","(80,90]","(80,90]","(80,90]","(80,90]","(80,90]","(80,90]","(80,90]","(80,90]","(80,90]","(80,90]","(80,90]","(80,90]"
5101001,"(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]"
5101209,"(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]"
5101258,"(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]"
5101308,"(10,20]","(10,20]","(10,20]","(10,20]","(10,20]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]"
5101407,"(80,90]","(80,90]","(80,90]","(80,90]","(80,90]","(80,90]","(80,90]","(80,90]","(80,90]","(80,90]","(80,90]","(80,90]","(80,90]","(80,90]","(80,90]","(80,90]"
5101605,"(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]"
5101704,"(40,50]","(40,50]","(40,50]","(40,50]","(40,50]","(40,50]","(40,50]","(40,50]","(40,50]","(40,50]","(40,50]","(40,50]","(40,50]","(40,50]","(40,50]","(40,50]"
5101803,"(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]"
5101852,"(40,50]","(40,50]","(40,50]","(40,50]","(40,50]","(40,50]","(40,50]","(40,50]","(40,50]","(40,50]","(40,50]","(40,50]","(40,50]","(40,50]","(40,50]","(40,50]"
5101902,"(60,70]","(60,70]","(60,70]","(60,70]","(60,70]","(60,70]","(60,70]","(60,70]","(60,70]","(60,70]","(60,70]","(60,70]","(60,70]","(60,70]","(60,70]","(60,70]"
5102504,"(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]"
5102603,"(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]"
5102637,"(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]"
5102678,"(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]"
5102686,"(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]"
5102694,"(40,50]","(40,50]","(40,50]","(40,50]","(40,50]","(40,50]","(40,50]","(40,50]","(40,50]","(40,50]","(40,50]","(40,50]","(40,50]","(40,50]","(30,40]","(30,40]"
5102702,"(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(40,50]"
5102793,"(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(20,30]","(30,40]","(30,40]","(30,40]"
5102850,"(40,50]","(40,50]","(40,50]","(40,50]","(40,50]","(40,50]","(40,50]","(40,50]","(40,50]","(40,50]","(40,50]","(40,50]","(40,50]","(40,50]","(30,40]","(30,40]"
5103007,"(60,70]","(60,70]","(60,70]","(60,70]","(60,70]","(60,70]","(60,70]","(60,70]","(60,70]","(60,70]","(60,70]","(60,70]","(60,70]","(60,70]","(60,70]","(60,70]"
5103056,"(60,70]","(60,70]","(60,70]","(60,70]","(60,70]","(60,70]","(60,70]","(60,70]","(60,70]","(60,70]","(60,70]","(60,70]","(60,70]","(50,60]","(50,60]","(50,60]"
5103106,"(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]"
5103205,"(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]"
5103254,"(80,90]","(80,90]","(80,90]","(80,90]","(80,90]","(80,90]","(80,90]","(80,90]","(80,90]","(80,90]","(80,90]","(80,90]","(80,90]","(80,90]","(80,90]","(80,90]"
5103304,"(80,90]","(80,90]","(80,90]","(80,90]","(80,90]","(80,90]","(80,90]","(80,90]","(80,90]","(80,90]","(80,90]","(80,90]","(80,90]","(80,90]","(80,90]","(80,90]"
5103353,"(40,50]","(40,50]","(40,50]","(40,50]","(40,50]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]"
5103361,"(60,70]","(60,70]","(60,70]","(60,70]","(60,70]","(60,70]","(60,70]","(60,70]","(60,70]","(60,70]","(60,70]","(60,70]","(60,70]","(60,70]","(60,70]","(60,70]"
5103379,"(80,90]","(80,90]","(80,90]","(80,90]","(80,90]","(70,80]","(70,80]","(70,80]","(70,80]","(70,80]","(70,80]","(70,80]","(70,80]","(70,80]","(70,80]","(70,80]"
5103403,"(60,70]","(60,70]","(60,70]","(60,70]","(60,70]","(60,70]","(60,70]","(60,70]","(60,70]","(60,70]","(60,70]","(60,70]","(60,70]","(60,70]","(60,70]","(60,70]"
5103437,"(10,20]","(10,20]","(10,20]","(10,20]","(10,20]","(10,20]","(10,20]","(10,20]","(10,20]","(10,20]","(10,20]","(10,20]","(10,20]","(10,20]","(10,20]","(10,20]"
5103452,"(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]"
5103502,"(40,50]","(40,50]","(40,50]","(40,50]","(40,50]","(40,50]","(40,50]","(40,50]","(40,50]","(40,50]","(40,50]","(40,50]","(40,50]","(40,50]","(40,50]","(40,50]"
5103601,"(40,50]","(40,50]","(40,50]","(40,50]","(40,50]","(40,50]","(40,50]","(40,50]","(40,50]","(40,50]","(40,50]","(40,50]","(40,50]","(40,50]","(40,50]","(40,50]"
5103700,"(80,90]","(80,90]","(80,90]","(80,90]","(80,90]","(80,90]","(80,90]","(80,90]","(80,90]","(80,90]","(70,80]","(70,80]","(80,90]","(70,80]","(70,80]","(70,80]"
5103809,"(10,20]","(1,10]","(1,10]","(1,10]","(1,10]","(1,10]","(1,10]","(1,10]","(1,10]","(1,10]","(1,10]","(1,10]","(10,20]","(1,10]","(1,10]","(1,10]"
5103858,"(70,80]","(70,80]","(70,80]","(70,80]","(70,80]","(70,80]","(70,80]","(70,80]","(70,80]","(70,80]","(60,70]","(60,70]","(60,70]","(60,70]","(70,80]","(60,70]"
5103908,"(40,50]","(40,50]","(40,50]","(40,50]","(40,50]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(40,50]"
5103957,"(20,30]","(20,30]","(20,30]","(20,30]","(10,20]","(10,20]","(10,20]","(20,30]","(10,20]","(10,20]","(20,30]","(20,30]","(20,30]","(10,20]","(10,20]","(10,20]"
5104104,"(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(40,50]","(40,50]","(40,50]","(40,50]","(40,50]","(40,50]","(40,50]","(40,50]","(40,50]","(40,50]","(40,50]"
5104203,"(40,50]","(40,50]","(40,50]","(40,50]","(40,50]","(40,50]","(40,50]","(40,50]","(40,50]","(40,50]","(40,50]","(40,50]","(40,50]","(40,50]","(40,50]","(40,50]"
