"geo_code","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
3165206,"(10,20]","(10,20]","(10,20]","(10,20]","(10,20]","(10,20]","(10,20]","(10,20]","(10,20]","(10,20]","(20,30]","(20,30]","(20,30]","(10,20]","(10,20]","(10,20]"
3165305,"(10,20]","(10,20]","(10,20]","(10,20]","(10,20]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]"
3165404,"(60,70]","(60,70]","(60,70]","(60,70]","(60,70]","(60,70]","(60,70]","(60,70]","(60,70]","(60,70]","(60,70]","(60,70]","(60,70]","(60,70]","(60,70]","(60,70]"
3165503,"(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(40,50]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]"
3165537,"(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]"
3165552,"(70,80]","(70,80]","(70,80]","(70,80]","(70,80]","(70,80]","(60,70]","(60,70]","(60,70]","(60,70]","(60,70]","(60,70]","(60,70]","(60,70]","(60,70]","(60,70]"
3165560,"(10,20]","(10,20]","(10,20]","(10,20]","(10,20]","(10,20]","(10,20]","(10,20]","(10,20]","(10,20]","(10,20]","(10,20]","(10,20]","(10,20]","(10,20]","(10,20]"
3165578,"(20,30]","(10,20]","(10,20]","(10,20]","(10,20]","(10,20]","(10,20]","(10,20]","(10,20]","(10,20]","(10,20]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]"
3165602,"(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]"
3165701,"(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]"
3165800,"(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]"
3165909,"(70,80]","(70,80]","(70,80]","(70,80]","(70,80]","(70,80]","(70,80]","(70,80]","(70,80]","(70,80]","(70,80]","(70,80]","(70,80]","(70,80]","(70,80]","(70,80]"
3166006,"(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]"
3166105,"(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]"
3166204,"(10,20]","(10,20]","(10,20]","(10,20]","(10,20]","(10,20]","(10,20]","(10,20]","(10,20]","(10,20]","(10,20]","(10,20]","(10,20]","(10,20]","(10,20]","(10,20]"
3166303,"(30,40]","(30,40]","(30,40]","(20,30]","(20,30]","(20,30]","(30,40]","(30,40]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(30,40]","(30,40]","(30,40]"
3166402,"(10,20]","(10,20]","(10,20]","(10,20]","(10,20]","(10,20]","(10,20]","(10,20]","(10,20]","(10,20]","(10,20]","(10,20]","(10,20]","(10,20]","(10,20]","(10,20]"
3166501,"(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]"
3166600,"(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]","(20,30]"
3166709,"(1,10]","(1,10]","(1,10]","(1,10]","(1,10]","(1,10]","(1,10]","(1,10]","(1,10]","(1,10]","(1,10]","(1,10]","(1,10]","(1,10]","(1,10]","(1,10]"
