municipio_nome;lon;lat
Irajuba;-40.0839;-13.2566
Iramaia;-40.9696;-13.2937
Iraquara;-41.618;-12.2435
Irará;-38.7717;-12.0337
Irecê;-41.8589;-11.3034
Itabela;-39.5532;-16.5758
Itaberaba;-40.307;-12.5323
Itabuna;-39.2731;-14.789
Itacaré;-38.9948;-14.2782
Itaeté;-40.9634;-12.982
Itagi;-40.0136;-14.1618
Itagibá;-39.8485;-14.2865
Itagimirim;-39.6152;-16.0881
Itaguaçu da Bahia;-42.4012;-11.0087
Itaju do Colônia;-39.7247;-15.1402
Itajuípe;-39.3818;-14.678
Itamaraju;-39.533;-17.0423
Itamari;-39.6763;-13.7748
Itambé;-40.624;-15.248
Itanagra;-38.0382;-12.2682
Itanhém;-40.327;-17.1663
Itaparica;-38.684;-12.8815
Itapé;-39.43;-14.8948
Itapebi;-39.5285;-15.9722
Itapetinga;-40.2474;-15.2462
Itapicuru;-38.2186;-11.311
Itapitanga;-39.5664;-14.4212
Itaquara;-39.9382;-13.4464
Itarantim;-40.0615;-15.6578
Itatim;-39.7038;-12.7092
Itiruçu;-40.1462;-13.5324
Itiúba;-39.8533;-10.6919
Itororó;-40.0717;-15.119
Ituaçu;-41.311;-13.8074
Ituberá;-39.149;-13.7362
Iuiú;-43.5564;-14.4121
Jaborandi;-44.466;-13.6259
Jacaraci;-42.4306;-14.8492
Jacobina;-40.513;-11.1851
Jaguaquara;-39.9703;-13.5307
Jaguarari;-40.1936;-10.2629
Jaguaripe;-38.8914;-13.1151
Jandaíra;-37.7869;-11.5657
Jequié;-40.0886;-13.8557
Jeremoabo;-38.3518;-10.0622
Jiquiriçá;-39.5765;-13.2523
Jitaúna;-39.8896;-14.0174
João Dourado;-41.66;-11.3464
Juazeiro;-40.5036;-9.4107
Jucuruçu;-40.1588;-16.8445
Jussara;-41.9797;-11.0546
Jussari;-39.4949;-15.1905
Jussiape;-41.5901;-13.513
Lafaiete Coutinho;-40.2106;-13.653
Lagoa Real;-42.1457;-14.03
Laje;-39.4276;-13.1796
Lajedão;-40.3458;-17.6121
Lajedinho;-40.9037;-12.3604
Lajedo do Tabocal;-40.2252;-13.4725
Lamarão;-38.893;-11.7916
Lapão;-41.8319;-11.3801
Lauro de Freitas;-38.3235;-12.8967
Lençóis;-41.394;-12.5641
Licínio de Almeida;-42.5027;-14.6759
Livramento de Nossa Senhora;-41.8404;-13.6495
Luís Eduardo Magalhães;-45.8005;-12.0784
Macajuba;-40.3652;-12.1414
Macarani;-40.422;-15.5673
Macaúbas;-42.6947;-13.0237
Macururé;-39.0595;-9.1747
Madre de Deus;-38.6028;-12.7403
Maetinga;-41.4837;-14.6613
Maiquinique;-40.2605;-15.6198
Mairi;-40.1498;-11.7111
Malhada;-43.7716;-14.3404
Malhada de Pedras;-41.8787;-14.3779
Manoel Vitorino;-40.242;-14.1459
Mansidão;-44.0365;-10.7158
Maracás;-40.4313;-13.4377
Maragogipe;-38.9189;-12.7751
Maraú;-39.025;-14.1055
Marcionílio Souza;-40.5345;-13.0035
Mascote;-39.3024;-15.566
Mata de São João;-38.2973;-12.53
Matina;-42.8429;-13.9126
Medeiros Neto;-40.2202;-17.3704
Miguel Calmon;-40.5961;-11.4283
Milagres;-39.8591;-12.8706
Mirangaba;-40.5748;-10.9561
Mirante;-40.7736;-14.2398
Monte Santo;-39.3327;-10.4402
Morpará;-43.2779;-11.558
Morro do Chapéu;-41.1591;-11.5501
Mortugaba;-42.3804;-15.0164
Mucugê;-41.3732;-13.0039
Mucuri;-39.5475;-18.0885
Mulungu do Morro;-41.6438;-11.9672
Mundo Novo;-40.4715;-11.8647
Muniz Ferreira;-39.113;-12.9973
Muquém de São Francisco;-43.5519;-12.0683
Muritiba;-38.9887;-12.6234
Mutuípe;-39.5042;-13.2294
Nazaré;-39.0106;-13.0351
Nilo Peçanha;-39.113;-13.6045
Nordestina;-39.4291;-10.8321
Nova Canaã;-40.1452;-14.7936
Nova Fátima;-39.6322;-11.6084
Nova Ibiá;-39.6257;-13.8099
Nova Itarana;-40.0692;-13.033
Nova Redenção;-41.0689;-12.8189
Nova Soure;-38.4846;-11.238
Nova Viçosa;-39.372;-17.8934
Novo Horizonte;-42.1678;-12.802
Novo Triunfo;-38.4156;-10.342
Olindina;-38.3311;-11.3583
Oliveira dos Brejinhos;-42.897;-12.3206
Ouriçangas;-38.6284;-12.0069
Ourolândia;-41.0818;-10.9646
Palmas de Monte Alto;-43.1705;-14.2574
Palmeiras;-41.5773;-12.5101
Paramirim;-42.2406;-13.4424
Paratinga;-43.182;-12.6907
Paripiranga;-37.8704;-10.676
Pau Brasil;-39.6488;-15.4636
Paulo Afonso;-38.2183;-9.4033
Pé de Serra;-39.6094;-11.8312
Pedrão;-38.649;-12.1436
Pedro Alexandre;-37.8993;-10.0101
Piatã;-41.7706;-13.1645
Pilão Arcado;-42.4848;-9.9978
Pindaí;-42.687;-14.49
Pindobaçu;-40.3572;-10.7342
Pintadas;-39.9082;-11.808
Piraí do Norte;-39.3745;-13.7612
Piripá;-41.7249;-14.9469
Piritiba;-40.5513;-11.7372
Planaltino;-40.3684;-13.2566
Planalto;-40.4846;-14.6702
Poções;-40.3651;-14.5223
Pojuca;-38.3272;-12.4293
Ponto Novo;-40.1354;-10.8671
Porto Seguro;-39.0621;-16.4491
Potiraguá;-39.8757;-15.5925
Prado;-39.2292;-17.3296
Presidente Dutra;-41.9909;-11.2965
Presidente Jânio Quadros;-41.6824;-14.6854
Presidente Tancredo Neves;-39.4241;-13.4708
Queimadas;-39.6264;-10.9764
Quijingue;-39.2066;-10.7517
Quixabeira;-40.1215;-11.4087
Rafael Jambeiro;-39.5006;-12.4074
Remanso;-42.0797;-9.6239
Retirolândia;-39.4242;-11.4897
Riachão das Neves;-44.9165;-11.7462
Riachão do Jacuípe;-39.383;-11.806
Riacho de Santana;-42.9383;-13.6066
Ribeira do Amparo;-38.4306;-11.0392
Ribeira do Pombal;-38.5361;-10.8363
Ribeirão do Largo;-40.7439;-15.4641
Rio de Contas;-41.8188;-13.5886
Rio do Antônio;-42.0751;-14.4085
Rio do Pires;-42.2879;-13.1187
Rio Real;-37.9336;-11.4849
Rodelas;-38.7723;-8.845
Ruy Barbosa;-40.5004;-12.2893
Salinas da Margarida;-38.7579;-12.878
Salvador;-38.4881;-13.0148
Santa Bárbara;-38.9661;-11.9569
Santa Brígida;-38.1278;-9.7319
Santa Cruz Cabrália;-39.0132;-16.3381
Santa Cruz da Vitória;-39.8118;-14.9601
Santa Inês;-39.8276;-13.2987
Santaluz;-39.3774;-11.2534
Santa Luzia;-39.3325;-15.4328
Santa Maria da Vitória;-44.1983;-13.3935
Santana;-44.0533;-12.9808
Santanópolis;-38.8672;-12.0284
Santa Rita de Cássia;-44.519;-11.008
Santa Teresinha;-39.5211;-12.7729
Santo Amaro;-38.709;-12.5491
Santo Antônio de Jesus;-39.2611;-12.968
Santo Estêvão;-39.2532;-12.4289
São Desidério;-44.9741;-12.3609
São Domingos;-39.5263;-11.4635
São Félix;-38.9687;-12.6057
São Félix do Coribe;-44.1969;-13.4042
São Felipe;-39.084;-12.8451
São Francisco do Conde;-38.6758;-12.63
São Gabriel;-41.8743;-11.2267
São Gonçalo dos Campos;-38.9498;-12.4303
São José da Vitória;-39.3389;-15.0782
São José do Jacuípe;-40.0237;-11.5053
São Miguel das Matas;-39.4558;-13.0517
São Sebastião do Passé;-38.4953;-12.5127
Sapeaçu;-39.1948;-12.7352
Sátiro Dias;-38.5914;-11.6008
Saubara;-38.7706;-12.7369
Saúde;-40.4186;-10.9411
Seabra;-41.7682;-12.4188
Sebastião Laranjeiras;-42.9441;-14.5748
Senhor do Bonfim;-40.19;-10.4568
Serra do Ramalho;-43.5807;-13.5645
Sento Sé;-41.891;-9.7404
Serra Dourada;-43.9523;-12.7626
Serra Preta;-39.3325;-12.1597
Serrinha;-39.0081;-11.6595
Serrolândia;-40.2999;-11.416
Simões Filho;-38.4115;-12.7839
Sítio do Mato;-43.4664;-13.0858
Sítio do Quinto;-38.2004;-10.3642
Sobradinho;-40.7916;-9.4708
Souto Soares;-41.6442;-12.0926
Tabocas do Brejo Velho;-44.0112;-12.7073
Tanhaçu;-41.2543;-14.0255
Tanque Novo;-42.4906;-13.5466
Tanquinho;-39.1005;-11.9717
Taperoá;-39.1006;-13.531
Tapiramutá;-40.7887;-11.8523
Teixeira de Freitas;-39.7445;-17.5377
Teodoro Sampaio;-38.6419;-12.3014
Teofilândia;-39.0058;-11.4829
Teolândia;-39.4894;-13.6011
Terra Nova;-38.6231;-12.4031
Tremedal;-41.4096;-14.9725
Tucano;-38.7859;-10.9643
Uauá;-39.4881;-9.8327
Ubaíra;-39.662;-13.2681
Ubaitaba;-39.3225;-14.3104
Ubatã;-39.5227;-14.2115
Uibaí;-42.1338;-11.3381
Umburanas;-41.3329;-10.7293
Una;-39.0747;-15.2942
Urandi;-42.659;-14.7632
Uruçuca;-39.2838;-14.592
Utinga;-41.0958;-12.0833
Valença;-39.0724;-13.3703
Valente;-39.4642;-11.4125
Várzea da Roça;-40.1406;-11.599
Várzea do Poço;-40.3189;-11.524
Várzea Nova;-40.9458;-11.2572
Varzedo;-39.3935;-12.9753
Vera Cruz;-38.6192;-12.9357
Vereda;-40.0845;-17.2239
Vitória da Conquista;-40.8398;-14.848
Wagner;-41.1696;-12.2843
Wanderley;-43.8889;-12.1202
Wenceslau Guimarães;-39.4797;-13.6886
Xique-Xique;-42.7255;-10.825
